delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.804667,0.999765,0.999411,0.999481
0.100000,0.987667,1.000000,0.999956,0.999827
0.200000,0.997000,1.000000,0.999978,0.999892
0.300000,0.995333,1.000000,0.999978,0.999935
0.400000,0.998000,1.000000,1.000000,0.999935
0.500000,0.999333,1.000000,1.000000,0.999957
0.600000,0.999000,1.000000,1.000000,0.999957
0.700000,0.999333,1.000000,1.000000,0.999978
0.800000,0.999667,1.000000,1.000000,0.999978
0.900000,0.998333,1.000000,1.000000,0.999978
1.000000,0.999333,1.000000,1.000000,0.999978
1.100000,0.998333,1.000000,1.000000,0.999978
1.200000,0.999000,1.000000,1.000000,0.999978
1.300000,0.999667,1.000000,1.000000,0.999978
1.400000,1.000000,1.000000,1.000000,0.999978
1.500000,1.000000,1.000000,1.000000,0.999978
1.600000,1.000000,1.000000,1.000000,0.999978
1.700000,1.000000,1.000000,1.000000,0.999978
1.800000,1.000000,1.000000,1.000000,0.999978
1.900000,1.000000,1.000000,1.000000,0.999978
2.000000,1.000000,1.000000,1.000000,0.999978
